,ranking,f_0_rank_descending,f_1_rank_descending,f_2_rank_descending,f_3_rank_descending,f_5_rank_descending,f_10_rank_descending,f_0_u1_robust,f_0_u2_robust,f_1_u1_robust,f_1_u2_robust,f_2_u1_robust,f_2_u2_robust,f_3_u1_robust,f_3_u2_robust,f_5_u1_robust,f_5_u2_robust,f_10_u1_robust,f_10_u2_robust
10,11,"{0, 3, 4, 5, 7, 8, 9}","{0, 4, 5, 6, 7, 9}","{0, 3, 4, 6, 7}","{0, 3, 4, 6, 7, 8}","{0, 1, 6}","{0, 3, 4, 8, 9}",0.7468170094865328,0.0,0.22335850031241686,0.0,0.18119597292540654,0.0001953181968731318,0.255002931335915,3.2964672831190313e-07,0.41723738760608176,0.07263562079112659,0.03224698633708404,3.4869495824043555e-08
11,12,"{0, 4, 5, 6, 7}","{0, 3, 4, 5, 7}","{0, 3, 4, 7, 8, 9}","{0, 3, 4, 5, 8}","{0, 3, 4, 6, 7, 8}","{0, 2, 4, 5}",0.3048603651910244,0.0026333272158934186,0.4753893891472295,0.024279929395231766,0.09432243539775419,7.06364901592752e-12,0.12669319466680679,3.2641224071288686e-05,0.2363218478697805,1.2816046718796138e-07,0.04523494852550913,4.186936764915111e-06
12,13,"{0, 3, 4, 5, 7}","{0, 3, 4, 6, 7}","{0, 3, 4, 5, 7}","{0, 4, 5, 6, 8}","{0, 3, 4, 6, 7}","{0, 3, 4, 7, 9}",0.5217979434784927,0.03868225785341377,0.17752394135793592,0.0001763131308189691,0.43363484424180504,0.015332778467075602,0.2179226760513019,0.0004914870922739183,0.14649543841467816,6.74715223272761e-05,0.1094912431417051,1.573609371944313e-05
13,14,"{0, 3, 4, 5, 8, 9}","{0, 3, 5, 6, 7, 8, 9}","{0, 3, 4, 5, 6}","{0, 3, 4, 6, 7}","{0, 3, 4, 6, 9}","{0, 3, 4, 6, 9}",0.7291969738953639,0.0,0.16337997228535217,0.0,0.16557116609902686,0.00012442955198101836,0.16790920620026112,0.0001334665831734683,0.03271156920644289,3.745474898130199e-08,0.040682381131966004,1.1143761811489696e-07
14,15,"{0, 3, 5, 6, 9}","{0, 3, 4, 6, 8}","{0, 3, 4, 8, 9}","{0, 1, 6}","{0, 3, 4, 5, 7, 8}","{0, 3, 4, 6, 7, 8}",0.0,0.0,0.10761558607257146,1.4433640229378133e-05,0.014709469727343072,6.886286447691272e-10,0.4154885245412273,0.07172608066093114,0.37698225824164155,7.380050746571367e-07,0.21635751317915936,3.763672923343425e-08
15,16,"{0, 3, 4, 6, 7, 8}","{0, 3, 4, 5, 9}","{0, 4, 5, 6, 7, 9}","{0, 3, 4, 6, 8}","{0, 3, 4, 5, 8}","{0, 3, 4, 6, 7}",0.2473055457232941,5.485538457335063e-07,0.013812580956204716,5.027755876511269e-10,0.2108185318315741,0.0,0.10396947065091779,1.2148681994940691e-05,0.1131731228009239,1.8565920993092066e-05,0.1206736352325069,2.558951054630912e-05
16,17,"{0, 3, 4, 5, 6, 9}","{0, 3, 4, 7, 8, 9}","{0, 3, 4, 6, 8}","{0, 3, 4, 5, 7}","{0, 3, 4, 6, 8}","{0, 3, 4, 6, 8}",0.7246821978326706,0.0,0.07347870277376241,3.3962738823481173e-13,0.11095656695271333,1.68176401283519e-05,0.3672568970392249,0.006681128160600801,0.09383572869753654,7.275136641973048e-06,0.08348469181318391,4.055405085701047e-06
17,18,"{0, 3, 4, 5, 6, 8}","{0, 3, 5, 6, 7, 9}","{0, 3, 4, 5, 9}","{0, 3, 4, 5, 9}","{0, 3, 4, 5, 9}","{0, 3, 4, 5, 9}",1.0,3.2685780240644125e-06,0.10559387004487492,0.0,0.02819945923817651,1.7832157903010156e-08,0.03605771715144589,6.09524459861811e-08,0.04476460434040106,1.7975200830525364e-07,0.053955903637625674,4.572933141778075e-07
18,19,"{0, 3, 4, 5, 6, 7, 9}","{0, 4, 5, 6, 7, 8, 9}","{0, 4, 5, 6, 8}","{0, 3, 4, 6, 9}","{0, 3, 4, 7, 9}","{0, 2, 5, 7, 8, 9}",1.0,0.0,0.37190785818689853,0.0,0.25373526128502205,0.0010517296655560922,0.027503933992808264,1.573888946684121e-08,0.13918133930346077,5.222819974309343e-05,0.020943057511076568,8.796180808136151e-16
19,20,"{0, 3, 5, 6, 7, 9}","{0, 4, 5, 6, 7, 8}","{0, 3, 4, 6, 9}","{0, 3, 4, 5, 6}","{0, 3, 4, 5, 7}","{0, 2, 6, 7, 8, 9}",0.09508904798032315,0.0,0.4657801999979758,7.068166592112243e-05,0.023619262351866777,7.350749967317035e-09,0.15202153811148733,8.119431298653518e-05,0.2843624947190721,0.0018593518415167547,0.020471989474127417,1.991213908254704e-15
20,21,"{0, 3, 4, 6, 7}","{0, 3, 5, 6, 8, 9}","{0, 3, 5, 6, 7, 8, 9}","{0, 4, 5, 6, 7, 9}","{0, 2, 4, 5}","{0, 2, 5, 8, 9}",0.17125951421944932,0.00014732401259494093,0.17630641282289047,0.0,0.16465406543573266,0.0,0.18231690346232257,0.0,0.0,0.0,0.0037538873904173153,7.45428859019107e-13
21,22,"{0, 3, 4, 5, 6, 8, 9}","{0, 3, 4, 8, 9}","{0, 1, 6}","{0, 4, 5, 6, 7, 8, 9}","{0, 3, 4, 5, 6}","{0, 3, 4, 5, 7, 8}",1.0,0.0,0.009326642442789674,7.057105943876906e-11,0.41468325428193914,0.07130984528251562,0.3165618961501616,0.0,0.13372055973038774,4.275539558632073e-05,0.3116734106075641,1.6400955489837396e-07
22,23,"{0, 3, 5, 6, 8, 9}","{0, 3, 4, 5, 6, 7}","{0, 4, 5, 6, 7, 8, 9}","{0, 3, 5, 6, 7, 8, 9}","{0, 4, 5, 6, 7, 9}","{0, 3, 4, 5, 8}",0.17715950505572228,0.0,1.0,2.7198390225665257e-05,0.35381406024590806,0.0,0.15776149178614784,0.0,0.14528720906370846,0.0,0.0984812829462169,9.263358847583365e-06
23,24,"{0, 1, 5, 7, 8}","{0, 1, 5, 7, 8}","{0, 3, 5, 6, 7, 9}","{0, 3, 4, 7, 9}","{0, 1, 4}","{0, 2, 6, 8, 9}",0.597108364423512,0.0015556480509802421,0.6263304704650369,0.0017569550162563003,0.11371243274348673,4.493583937463866e-19,0.16480137200824835,0.00012156375731628626,0.8906276516882278,0.7064615407915305,0.0047170446597233654,2.3353390439650452e-12
24,25,"{0, 1, 4, 5, 7, 8}","{0, 3, 4, 5, 7, 8, 9}","{0, 3, 5, 6, 8, 9}","{0, 3, 5, 6, 7, 9}","{0, 2, 5, 6, 7, 8}","{0, 3, 4, 5, 7}",0.8937714292485739,0.010829826796287958,0.7385567609773225,0.0,0.17596661849024686,0.0,0.11435742873506252,2.6517791409350795e-14,0.0,0.0,0.1971699830895609,0.00029799158209871857
25,26,"{0, 3, 5, 6, 8}","{0, 3, 4, 5, 8, 9}","{0, 4, 5, 6, 8, 9}","{0, 3, 5, 6, 8, 9}","{0, 4, 5, 6, 7, 8, 9}","{0, 1, 4}",0.0854603575800096,4.558516469642373e-06,0.7229334128294025,0.0,0.17863442460785206,0.0,0.1673318612928232,0.0,0.26740062980410856,0.0,0.8046113454515813,0.5209049161415202
26,27,"{0, 4, 5, 6, 7, 8, 9}","{0, 3, 4, 6, 9}","{0, 1, 5, 7, 8}","{0, 1, 4}","{0, 3, 5, 6, 7, 8, 9}","{0, 2, 5, 6, 7, 8}",0.39039921475004413,0.0,0.016657197046641092,1.282358976867222e-09,0.6369000742108674,0.0017279198452614228,0.9561805846125329,0.8742180378689894,0.14829686597062883,0.0,0.0,0.0
27,28,"{0, 1, 4, 5}","{0, 3, 4, 5, 6, 7, 8}","{0, 3, 4, 7, 9}","{0, 4, 5, 6, 8, 9}","{0, 2, 5, 6, 8}","{0, 2, 5, 6, 8}",0.9243179402226925,0.17051741048196656,1.0,0.0002943639397479937,0.1834984779782812,0.00020804741872808112,0.15396370559013042,0.0,0.0,0.0,0.0,0.0
28,29,"{0, 1, 4, 5, 7}","{0, 4, 5, 6, 8, 9}","{0, 1, 4}","{0, 2, 5, 6, 7, 8}","{0, 4, 5, 6, 8, 9}","{0, 2, 3, 6}",0.9270203161743664,0.14372331533627597,0.1934721219877719,0.0,1.0,1.0,0.0,0.0,0.12295719898264998,0.0,0.044801688770548416,4.028816981808117e-06
29,30,"{0, 1, 5}","{0, 1, 5, 7}","{0, 1, 5, 7}","{0, 2, 4, 5}","{0, 3, 5, 6, 7, 9}","{0, 2, 5, 6, 7}",0.566785629123121,0.1820775875228765,0.5849240930353128,0.08888728204779851,0.5797427214207894,0.07154796970419153,0.0,0.0,0.11485158403827014,1.0734600707597874e-12,0.004618629788408011,2.1016759829813846e-12
