Run,Time,Completed,Visited,Terminal,Loops,Branching Factor,Branching @ 0,Branching @ 1,Branching @ 2,A Power,B Power,C Power,A-X Position,A-Y Position,A-Z Position,B-X Position,B-Y Position,B-Z Position,C-X Position,C-Y Position,C-Z Position,Terminal,Depth,Step,Estimated Path Length,Estimated Path Nodes
45,0.00287103652954,True,1,1,0,0.0,0.0,0.0,0.0,0.112755829287,0.57581635314,0.311427817574,-0.954023866011,0.910736496795,0.86729141973,-0.412584318272,-0.773769238407,-0.230973089403,-0.0264512015461,0.204465082079,-0.11548842835,A B C,0,0,1,A B C
46,0.00288200378418,True,1,1,0,0.0,0.0,0.0,0.0,0.38417917249,0.260654709804,0.355166117707,-0.900917341452,0.508122881061,-0.945273709784,0.961412358892,0.686590336844,-0.419637401285,-0.259584705764,-0.328070665784,-0.945220212222,A B C,0,0,1,A B C
47,0.00288915634155,True,1,1,0,0.0,0.0,0.0,0.0,0.195718734532,0.416829309332,0.387451956136,0.0551377016342,0.498926121345,0.933976795227,-0.931626809719,-0.711348754353,-0.214063070355,0.795724712691,0.607750208541,-0.829558052049,A B C,0,0,1,A B C
48,0.00288915634155,True,1,1,0,0.0,0.0,0.0,0.0,0.462652249204,0.431381570909,0.105966179887,-0.785528109577,0.281479874915,-0.235841032872,0.445528525288,0.751749868618,0.591724091444,-0.584329287152,-0.441519321414,-0.582041954458,A B C,0,0,1,A B C
49,0.00287485122681,True,1,1,0,0.0,0.0,0.0,0.0,0.0230991706081,0.763293523391,0.213607306001,-0.956400304057,0.606481042752,-0.672980370891,-0.00741809160005,0.43436617076,-0.900383000523,0.910283607742,0.93453779295,-0.6323149033,A B C,0,0,1,A B C
50,0.00393509864807,True,2,1,0,0.5,1.0,0.0,0.0,0.105631975261,0.367732089696,0.526635935043,-0.779643026282,-0.791902670418,-0.387028000454,0.279075065906,0.244646672716,0.827130355742,0.482713135573,0.0588510788602,0.431971226553,A BC,1,1,2,A B C,A BC
51,0.00391006469727,True,2,1,0,0.5,1.0,0.0,0.0,0.377130153344,0.52223907005,0.100630776606,-0.720169237445,-0.322104437104,-0.566662240353,0.155176832141,0.957137400596,-0.298943165728,0.240262961122,0.382474615975,-0.0425791428068,A BC,1,1,2,A B C,A BC
52,0.00291109085083,True,1,1,0,0.0,0.0,0.0,0.0,0.381555826339,0.373839409076,0.244604764584,0.186712830799,0.683505536779,0.452067328425,-0.213787055459,-0.0655229374406,-0.346471383519,-0.0880640308106,-0.631786159732,0.279891280474,A B C,0,0,1,A B C
53,0.00287389755249,True,1,1,0,0.0,0.0,0.0,0.0,0.327706125469,0.66885745042,0.00343642411078,0.798087729813,-0.0489329885171,-0.194567772241,0.0976957927038,-0.286782889682,0.392422581814,-0.967318001545,-0.940093214308,-0.50216372035,A B C,0,0,1,A B C
54,0.0038948059082,True,2,1,0,0.5,1.0,0.0,0.0,0.329703823221,0.373671625488,0.296624551292,0.21927025256,0.302768423815,-0.962722351481,-0.61563311929,0.0374145863635,0.238658584191,-0.255225712457,-0.24259574524,-0.95599301328,AC B,1,1,2,A B C,AC B
55,0.00285506248474,True,1,1,0,0.0,0.0,0.0,0.0,0.243790618425,0.337921117647,0.418288263929,0.950409695807,0.856630357261,-0.725230815003,0.910100986502,-0.141401053893,0.481243856964,-0.245715486524,0.992052399765,0.24198195195,A B C,0,0,1,A B C
56,0.0028440952301,True,1,1,0,0.0,0.0,0.0,0.0,0.265867666011,0.38032761861,0.353804715379,0.350211491031,0.89590138202,0.426978054322,-0.166442348743,-0.0579541155368,-0.83400086272,-0.984785999933,-0.600532834895,-0.0136445038342,A B C,0,0,1,A B C
57,0.00290203094482,True,1,1,0,0.0,0.0,0.0,0.0,0.293329559237,0.336636655498,0.370033785265,0.0804765330961,0.141338102481,-0.826628076375,0.419924694414,0.319079641778,0.964147975291,-0.89060789895,-0.248994438508,0.47728227706,A B C,0,0,1,A B C
58,0.00287795066833,True,1,1,0,0.0,0.0,0.0,0.0,0.34315061808,0.387220021394,0.269629360526,0.447793665662,-0.211655447334,-0.824951692756,-0.839127001935,-0.249091147275,-0.0104128474074,-0.192737859898,0.911399157456,-0.0100658137273,A B C,0,0,1,A B C
59,0.00288009643555,True,1,1,0,0.0,0.0,0.0,0.0,0.182179409644,0.494632625615,0.323187964741,-0.660734230618,-0.968042701255,-0.181821705512,0.217413724251,-0.271923272758,0.476475708342,-0.132981486041,0.699718309835,-0.941421892452,A B C,0,0,1,A B C
60,0.00290203094482,True,1,1,0,0.0,0.0,0.0,0.0,0.338840622661,0.296209065913,0.364950311426,-0.178978949896,0.960210373306,-0.320721184242,0.860462222774,-0.551724175308,-0.222288156324,-0.835244456358,0.558018475302,0.859635181958,A B C,0,0,1,A B C
61,0.00287914276123,True,1,1,0,0.0,0.0,0.0,0.0,0.16659051929,0.378158950276,0.455250530435,-0.502305757388,0.580264651728,0.608279176241,-0.999088856598,0.13828896752,-0.226038446747,-0.0243493442397,-0.106175638258,0.494708139993,A B C,0,0,1,A B C
62,0.0028829574585,True,1,1,0,0.0,0.0,0.0,0.0,0.529630869254,0.467151738059,0.00321739268722,0.866403846819,0.764726447673,0.600223648761,-0.901130934519,-0.407118051011,0.369336490295,0.23935754986,-0.292410518872,-0.844518581562,A B C,0,0,1,A B C
63,0.0028600692749,True,1,1,0,0.0,0.0,0.0,0.0,0.184329115839,0.156937622043,0.658733262118,-0.338276802411,-0.00276287915008,0.643786698631,-0.0491185529329,0.422046814577,-0.623609615803,0.922326866912,-0.398019888895,-0.40728283967,A B C,0,0,1,A B C
