Run,Time,Completed,Visited,Terminal,Loops,Branching Factor,Branching @ 0,Branching @ 1,A Power,B Power,C Power,A-X Position,A-Y Position,A-Z Position,B-X Position,B-Y Position,B-Z Position,C-X Position,C-Y Position,C-Z Position,Terminal,Depth,Step,Terminal,Depth,Step,Estimated Path Length,Estimated Path Nodes
10,0.001912832260131836,True,1,1,0,0.0,0.0,0.0,0.2302880385780808,0.6703267790319051,0.09938518239001415,0.4635168976282176,0.9005711312783808,0.9755110554634576,0.2910990003893068,0.755504316079493,-0.39412005757481183,-0.24835441276857595,-0.10440608261005835,0.22325685461341305,A B C,0,0,,,,1,A B C
11,0.0018620491027832031,True,1,1,0,0.0,0.0,0.0,0.5317156037052778,0.013847395433738611,0.45443700086098354,-0.1479903913163998,-0.7487680507019119,0.6825189366234166,0.9366977408752055,0.6047919556943921,-0.048179643023191776,-0.40891586297141225,0.8144856270749024,-0.32935265498387434,A B C,0,0,,,,1,A B C
12,0.0018618106842041016,True,1,1,0,0.0,0.0,0.0,0.2961668358113353,0.44325461520587645,0.26057854898278826,-0.5861815735610598,-0.13915897308887204,0.2538082472635179,0.6225226685646308,-0.39273048605202154,-0.372515811565181,-0.37867061858504525,0.4866397644492999,-0.5073269462036338,A B C,0,0,,,,1,A B C
13,0.0027170181274414062,True,4,1,0,1.0,2.0,1.0,0.18690561986085785,0.43053517113650647,0.38255920900263574,-0.5970264509296337,0.5563111013823403,-0.9171613372021554,0.10584164692200315,0.5581425839228511,-0.4417695517362923,-0.11092316587472673,0.30622466561114603,-0.7524626621216739,ABC,2,3,,,,3,A B C,A BC,ABC
14,0.0018668174743652344,True,1,1,0,0.0,0.0,0.0,0.22345948253262998,0.5500144689363238,0.22652604853104635,-0.49825464879172165,0.09677744071122785,0.9051127988553636,0.4633383547275547,-0.8172090695316439,0.24757933727703207,-0.17766303702046127,-0.9270055236783501,-0.7682299599938076,A B C,0,0,,,,1,A B C
15,0.0018579959869384766,True,1,1,0,0.0,0.0,0.0,0.3416812230939342,0.5552781265477468,0.10304065035831891,-0.5083313323267722,-0.37794494449735416,0.459208641678684,0.09189959355128474,0.129380298446107,-0.8631894995655265,0.6549327763722161,-0.38343064508856695,0.23050953485127557,A B C,0,0,,,,1,A B C
16,0.0019080638885498047,True,1,1,0,0.0,0.0,0.0,0.6809652648624719,0.30225663670443553,0.016778098433092564,0.646515309820374,0.41175312487355065,0.12711428890846466,0.21097218857024114,-0.8933402098325449,0.7428136964688195,-0.42250989005082906,0.9839984155184698,-0.7175820549123197,A B C,0,0,,,,1,A B C
17,0.003268003463745117,True,2,1,0,0.5,1.0,0.0,0.1363537472202373,0.36163022668805495,0.5020160260917078,-0.6262937995562377,-0.8074294045580286,0.12072477652306746,-0.40056984729974343,0.32609920739982723,0.8205288112009688,-0.2186416334252852,-0.39549603172594416,0.9419004109216342,A BC,1,1,,,,2,A B C,A BC
18,0.0018620491027832031,True,1,1,0,0.0,0.0,0.0,0.36599075397901876,0.2966180072592285,0.33739123876175264,0.4910351081073683,0.5573586501267143,-0.9493750136059189,-0.23050949983479807,-0.7368864221259648,0.516488351270344,-0.7374120664958481,0.050730007792914034,0.031476612804870685,A B C,0,0,,,,1,A B C
19,0.0018520355224609375,True,1,1,0,0.0,0.0,0.0,0.047642264230096716,0.527839612223136,0.42451812354676716,-0.9479605977454706,0.26610150398808163,0.23537186804598131,0.8081847666202917,0.7190770575183199,-0.8218585366386546,-0.9504995378060956,-0.6527783179436919,0.12544832279147733,A B C,0,0,,,,1,A B C
20,0.0018651485443115234,True,1,1,0,0.0,0.0,0.0,0.1844966007471942,0.22053502057054838,0.5949683786822575,-0.8542855800935667,0.5111481429931881,0.7591106811127919,-0.7435881665507822,0.8960761414309015,-0.03996465273720795,0.3653572103823046,-0.7139226772685272,-0.802079512947198,A B C,0,0,,,,1,A B C
21,0.002588987350463867,True,2,1,0,0.5,1.0,0.0,0.48002476424284796,0.511078676667551,0.00889655908960098,-0.6244610750965225,0.17789230037465376,0.6097661775463536,0.04405396031479025,0.5648844632886745,0.16655945894026147,-0.9327422506655234,-0.0782365139575385,-0.34881169428418035,AB C,1,1,,,,2,A B C,AB C
22,0.0018618106842041016,True,1,1,0,0.0,0.0,0.0,0.3262398182723575,0.44774861513500397,0.22601156659263844,-0.5430880667326834,0.8975354444160524,0.1992396358770374,0.8163075326377451,-0.28316507269509983,0.5481009256833773,0.9965577825954317,0.5323909089477608,-0.7618397808236368,A B C,0,0,,,,1,A B C
23,0.002538919448852539,True,2,1,0,0.5,1.0,0.0,0.36211304336681455,0.27504310134150517,0.3628438552916803,-0.7017852621465257,-0.16431955557607192,0.3861149789650262,0.5699284670599916,-0.140835728841342,-0.7016170400744162,0.8264924286708337,-0.8388972703287763,-0.6234634981682288,A BC,1,1,,,,2,A B C,A BC
24,0.0026209354400634766,True,2,1,0,0.5,1.0,0.0,0.7182173116721421,0.1138391928420305,0.16794349548582727,-0.10908190959931585,-0.2478082647520501,-0.03300982617802406,-0.07294106924610233,-0.808916527916123,0.7203982994020535,-0.4781978666472624,0.18391163748474937,-0.17075605255320392,AC B,1,1,,,,2,A B C,AC B
25,0.0018558502197265625,True,1,1,0,0.0,0.0,0.0,0.4010336328463562,0.1792979976633024,0.4196683694903414,-0.7171481053203299,0.8445991520334535,0.6003595071474581,-0.5667013085350641,0.6017858980608357,-0.830287644024658,-0.6497715813432976,-0.6454343781001444,-0.19152359571874822,A B C,0,0,,,,1,A B C
